"node_from","node_to","layer_from","co_occurrences","interactions","weight"
34,60,7,4,3,1
34,60,11,4,3,1
34,76,5,2,1,3
34,76,6,2,1,0
34,92,5,4,3,3
34,92,6,4,3,10
34,92,7,4,3,4
34,92,11,4,3,0
35,112,6,2,1,1
35,112,10,2,1,0
35,138,9,6,1,0
35,138,10,6,1,0
35,138,11,6,1,1
35,138,12,6,1,0
35,138,13,6,1,0
35,138,14,6,1,0
35,143,12,1,1,1
35,163,5,8,2,0
35,163,6,8,2,0
35,163,9,8,2,0
35,163,10,8,2,0
35,163,11,8,2,2
35,163,12,8,2,1
35,163,13,8,2,0
35,163,14,8,2,0
35,170,5,5,1,0
35,170,6,5,1,3
35,170,12,5,1,0
35,170,13,5,1,0
35,170,14,5,1,0
35,174,5,1,1,1
35,175,9,2,1,1
35,175,10,2,1,0
35,187,5,6,2,2
35,187,6,6,2,3
35,187,9,6,2,0
35,187,10,6,2,0
35,187,11,6,2,0
35,187,12,6,2,0
35,190,10,3,1,0
35,190,13,3,1,1
35,190,14,3,1,0
35,197,11,2,1,0
35,197,12,2,1,1
35,199,5,2,1,1
35,199,6,2,1,0
35,216,11,2,1,0
35,216,12,2,1,6
35,238,11,2,1,2
35,238,12,2,1,0
35,242,9,3,2,1
35,242,10,3,2,1
35,242,14,3,2,0
35,243,11,3,1,1
35,243,12,3,1,0
35,243,13,3,1,0
35,265,13,2,1,0
35,265,14,2,1,1
35,50,5,4,2,1
35,50,6,4,2,0
35,50,9,4,2,1
35,50,10,4,2,0
35,62,11,2,2,1
35,62,12,2,2,1
35,68,11,1,1,1
35,76,5,2,1,0
35,76,6,2,1,2
35,78,9,1,1,1
35,92,5,8,7,12
35,92,6,8,7,32
35,92,9,8,7,7
35,92,10,8,7,11
35,92,11,8,7,0
35,92,12,8,7,3
35,92,13,8,7,4
35,92,14,8,7,2
36,101,3,2,1,1
36,101,12,2,1,0
36,234,3,1,1,2
36,272,12,1,1,2
36,55,3,2,1,1
36,55,12,2,1,0
37,154,8,1,1,1
37,165,7,3,1,1
37,165,8,3,1,0
37,165,14,3,1,0
37,187,7,2,1,0
37,187,8,2,1,1
37,266,7,2,1,1
37,266,8,2,1,0
37,274,7,3,2,3
37,274,8,3,2,1
37,274,14,3,2,0
37,92,7,3,1,0
37,92,8,3,1,0
37,92,14,3,1,1
38,124,10,1,1,1
38,140,8,3,3,1
38,140,10,3,3,1
38,140,14,3,3,2
38,165,5,6,2,0
38,165,7,6,2,1
38,165,8,6,2,0
38,165,9,6,2,2
38,165,10,6,2,0
38,165,14,6,2,0
38,166,9,2,1,1
38,166,10,2,1,0
38,167,8,2,1,0
38,167,9,2,1,1
38,178,10,1,1,1
38,192,7,3,3,11
38,192,8,3,3,19
38,192,14,3,3,10
38,216,8,1,1,2
38,217,5,5,1,0
38,217,7,5,1,2
38,217,8,5,1,0
38,217,9,5,1,0
38,217,10,5,1,0
38,226,7,2,2,1
38,226,14,2,2,2
38,266,7,4,2,3
38,266,8,4,2,1
38,266,9,4,2,0
38,266,10,4,2,0
38,274,5,6,2,9
38,274,7,6,2,0
38,274,8,6,2,1
38,274,9,6,2,0
38,274,10,6,2,0
38,274,14,6,2,0
38,275,5,6,2,1
38,275,7,6,2,0
38,275,8,6,2,8
38,275,9,6,2,0
38,275,10,6,2,0
38,275,14,6,2,0
38,276,5,3,1,1
38,276,8,3,1,0
38,276,10,3,1,0
38,50,5,5,1,0
38,50,7,5,1,0
38,50,8,5,1,0
38,50,9,5,1,3
38,50,10,5,1,0
38,60,5,5,1,0
38,60,7,5,1,0
